Transcript ID	Gene ID	Gene symbol	Gene description	Species ID	3P-seq tags	Representative transcript?
ENSMUST00000072265.2	ENSMUSG00000061336.2	Olfr116	olfactory receptor 116 [Source:MGI Symbol;Acc:MGI:2177499]	10090	5	1
ENSMUST00000072271.7	ENSMUSG00000019232.9	Etnppl	ethanolamine phosphate phospholyase [Source:MGI Symbol;Acc:MGI:1919010]	10090	733	1
ENSMUST00000072280.3	ENSMUSG00000059632.3	Krtap8-1	keratin associated protein 8-1 [Source:MGI Symbol;Acc:MGI:1330293]	10090	5	1
ENSMUST00000072286.6	ENSMUSG00000067700.5	Gm5862	predicted gene 5862 [Source:MGI Symbol;Acc:MGI:3645135]	10090	5	1
ENSMUST00000072287.6	ENSMUSG00000038861.9	Pi4kb	phosphatidylinositol 4-kinase, catalytic, beta polypeptide [Source:MGI Symbol;Acc:MGI:1334433]	10090	333	1
ENSMUST00000072289.6	ENSMUSG00000061981.9	Flot2	flotillin 2 [Source:MGI Symbol;Acc:MGI:103309]	10090	726	1
ENSMUST00000072299.5	ENSMUSG00000054459.6	Vsnl1	visinin-like 1 [Source:MGI Symbol;Acc:MGI:1349453]	10090	77	1
ENSMUST00000072306.3	ENSMUSG00000057674.3	Gm11938	predicted gene 11938 [Source:MGI Symbol;Acc:MGI:3651233]	10090	5	1
ENSMUST00000072311.7	ENSMUSG00000014932.10	Yes1	Yamaguchi sarcoma viral (v-yes) oncogene homolog 1 [Source:MGI Symbol;Acc:MGI:99147]	10090	1118	1
ENSMUST00000072312.6	ENSMUSG00000056900.8	Usp13	ubiquitin specific peptidase 13 (isopeptidase T-3) [Source:MGI Symbol;Acc:MGI:1919857]	10090	1087	1
ENSMUST00000072329.8	ENSMUSG00000057531.8	Dtnbp1	dystrobrevin binding protein 1 [Source:MGI Symbol;Acc:MGI:2137586]	10090	284	1
ENSMUST00000072334.6	ENSMUSG00000000826.11	Dnajc5	DnaJ (Hsp40) homolog, subfamily C, member 5 [Source:MGI Symbol;Acc:MGI:892995]	10090	1852	1
ENSMUST00000072359.6	ENSMUSG00000058126.6	Tpm3-rs7	tropomyosin 3, related sequence 7 [Source:MGI Symbol;Acc:MGI:99705]	10090	9	1
ENSMUST00000072362.8	ENSMUSG00000033335.12	Dnm2	dynamin 2 [Source:MGI Symbol;Acc:MGI:109547]	10090	562	1
ENSMUST00000072363.4	ENSMUSG00000059832.4	Kprp	keratinocyte expressed, proline-rich [Source:MGI Symbol;Acc:MGI:1920981]	10090	5	1
ENSMUST00000072368.2	ENSMUSG00000062553.2	Olfr709-ps1	olfactory receptor 709, pseudogene 1 [Source:MGI Symbol;Acc:MGI:3030543]	10090	5	1
ENSMUST00000072369.1	ENSMUSG00000095916.1	Vmn1r191	vomeronasal 1 receptor 191 [Source:MGI Symbol;Acc:MGI:2182258]	10090	5	1
ENSMUST00000072370.2	ENSMUSG00000060523.2	Olfr726	olfactory receptor 726 [Source:MGI Symbol;Acc:MGI:3030560]	10090	5	1
ENSMUST00000072381.7	ENSMUSG00000078793.4	Gm5155	predicted gene 5155 [Source:MGI Symbol;Acc:MGI:3647191]	10090	5	1
ENSMUST00000072383.7	ENSMUSG00000024101.9	Wash	WAS protein family homolog [Source:MGI Symbol;Acc:MGI:1916017]	10090	2143	1
ENSMUST00000072385.1	ENSMUSG00000096099.1	Vmn1r220	vomeronasal 1 receptor 220 [Source:MGI Symbol;Acc:MGI:2159675]	10090	5	1
ENSMUST00000072386.5	ENSMUSG00000040987.9	Mill2	MHC I like leukocyte 2 [Source:MGI Symbol;Acc:MGI:2179989]	10090	31	1
ENSMUST00000072391.1	ENSMUSG00000060081.1	Hist1h2aa	histone cluster 1, H2aa [Source:MGI Symbol;Acc:MGI:2448285]	10090	0	1
ENSMUST00000072393.3	ENSMUSG00000031174.12	Rpgr	retinitis pigmentosa GTPase regulator [Source:MGI Symbol;Acc:MGI:1344037]	10090	5	0
ENSMUST00000072395.2	ENSMUSG00000058981.2	Olfr1406	olfactory receptor 1406 [Source:MGI Symbol;Acc:MGI:3031240]	10090	5	1
ENSMUST00000072403.6	ENSMUSG00000049152.11	Ugt3a2	UDP glycosyltransferases 3 family, polypeptide A2 [Source:MGI Symbol;Acc:MGI:2145969]	10090	1735	1
ENSMUST00000072404.2	ENSMUSG00000061977.2	Tas2r104	taste receptor, type 2, member 104 [Source:MGI Symbol;Acc:MGI:2681185]	10090	5	1
ENSMUST00000072410.4	ENSMUSG00000060245.4	Vmn1r228	vomeronasal 1 receptor 228 [Source:MGI Symbol;Acc:MGI:2159624]	10090	5	1
ENSMUST00000072419.2	ENSMUSG00000095667.1	Olfr854	olfactory receptor 854 [Source:MGI Symbol;Acc:MGI:3030688]	10090	5	1
ENSMUST00000072427.4	ENSMUSG00000057924.4	Gm10033	predicted gene 10033 [Source:MGI Symbol;Acc:MGI:3642803]	10090	188	1
ENSMUST00000072437.3	ENSMUSG00000062282.3	Gm10113	predicted gene 10113 [Source:MGI Symbol;Acc:MGI:3642714]	10090	5	1
ENSMUST00000072438.7	ENSMUSG00000030483.9	Cyp2b10	cytochrome P450, family 2, subfamily b, polypeptide 10 [Source:MGI Symbol;Acc:MGI:88598]	10090	2122	1
ENSMUST00000072451.5	ENSMUSG00000037341.8	Slc9a7	solute carrier family 9 (sodium/hydrogen exchanger), member 7 [Source:MGI Symbol;Acc:MGI:2444530]	10090	102	1
ENSMUST00000072453.5	ENSMUSG00000100916.1	LHB	lutropin subunit beta precursor  [Source:RefSeq peptide;Acc:NP_032523]	10090	18	1
ENSMUST00000072465.7	ENSMUSG00000057982.7	Zfp809	zinc finger protein 809 [Source:MGI Symbol;Acc:MGI:2143362]	10090	1022	1
ENSMUST00000072475.6	ENSMUSG00000070847.6	Vmn2r30	vomeronasal 2, receptor 30 [Source:MGI Symbol;Acc:MGI:1316729]	10090	5	0
ENSMUST00000072476.7	ENSMUSG00000001168.11	Oas1h	2'-5' oligoadenylate synthetase 1H [Source:MGI Symbol;Acc:MGI:2180853]	10090	5	1
ENSMUST00000072503.7	ENSMUSG00000059070.9	Rpl18	ribosomal protein L18 [Source:MGI Symbol;Acc:MGI:98003]	10090	2444	1
ENSMUST00000072505.4	ENSMUSG00000042540.7	Acot5	acyl-CoA thioesterase 5 [Source:MGI Symbol;Acc:MGI:2384969]	10090	5	1
ENSMUST00000072513.3	ENSMUSG00000061626.5	Olfr68	olfactory receptor 68 [Source:MGI Symbol;Acc:MGI:1341790]	10090	5	1
ENSMUST00000072514.1	ENSMUSG00000009471.3	Myod1	myogenic differentiation 1 [Source:MGI Symbol;Acc:MGI:97275]	10090	11	1
ENSMUST00000072517.1	ENSMUSG00000095928.1	Olfr204	olfactory receptor 204 [Source:MGI Symbol;Acc:MGI:3030038]	10090	5	1
ENSMUST00000072518.7	ENSMUSG00000100194.1	Tgif2lx2	TGFB-induced factor homeobox 2-like, X-linked 2 [Source:MGI Symbol;Acc:MGI:3800824]	10090	5	1
ENSMUST00000072519.5	ENSMUSG00000041112.10	Elmo1	engulfment and cell motility 1 [Source:MGI Symbol;Acc:MGI:2153044]	10090	259	1
ENSMUST00000072539.6	ENSMUSG00000061388.6	Csn1s2b	casein alpha s2-like B [Source:MGI Symbol;Acc:MGI:105312]	10090	5	1
ENSMUST00000072554.7	ENSMUSG00000059939.8	9430015G10Rik	RIKEN cDNA 9430015G10 gene [Source:MGI Symbol;Acc:MGI:2444364]	10090	153	1
ENSMUST00000072572.7	ENSMUSG00000063362.8	Alg11	asparagine-linked glycosylation 11 (alpha-1,2-mannosyltransferase) [Source:MGI Symbol;Acc:MGI:2142632]	10090	1050	1
ENSMUST00000072576.4	ENSMUSG00000014504.11	Srp19	signal recognition particle 19 [Source:MGI Symbol;Acc:MGI:1913634]	10090	3344	1
ENSMUST00000072578.7	ENSMUSG00000063447.7	Ube2d2b	ubiquitin-conjugating enzyme E2D 2B [Source:MGI Symbol;Acc:MGI:1920568]	10090	5	1
ENSMUST00000072600.6	ENSMUSG00000057123.9	Gja5	gap junction protein, alpha 5 [Source:MGI Symbol;Acc:MGI:95716]	10090	632	1
ENSMUST00000072602.8	ENSMUSG00000064267.8	Hvcn1	hydrogen voltage-gated channel 1 [Source:MGI Symbol;Acc:MGI:1921346]	10090	141	1
ENSMUST00000072607.4	ENSMUSG00000029547.6	Ints1	integrator complex subunit 1 [Source:MGI Symbol;Acc:MGI:1915760]	10090	1495	1
ENSMUST00000072608.1	ENSMUSG00000063020.1	Olfr194	olfactory receptor 194 [Source:MGI Symbol;Acc:MGI:3030028]	10090	5	1
ENSMUST00000072612.5	ENSMUSG00000064299.5	4921528I07Rik	RIKEN cDNA 4921528I07 gene [Source:MGI Symbol;Acc:MGI:1924299]	10090	5	1
ENSMUST00000072631.5	ENSMUSG00000058669.7	Nkx2-9	NK2 homeobox 9 [Source:MGI Symbol;Acc:MGI:1270158]	10090	13	1
ENSMUST00000072632.3	ENSMUSG00000099787.1	Vmn1r192	vomeronasal 1 receptor 192 [Source:MGI Symbol;Acc:MGI:2182260]	10090	5	1
ENSMUST00000072634.8	ENSMUSG00000031996.11	Aplp2	amyloid beta (A4) precursor-like protein 2 [Source:MGI Symbol;Acc:MGI:88047]	10090	1577	1
ENSMUST00000072639.4	ENSMUSG00000047821.11	Trim16	tripartite motif-containing 16 [Source:MGI Symbol;Acc:MGI:2137356]	10090	5	0
ENSMUST00000072646.6	ENSMUSG00000021280.8	Exoc3l4	exocyst complex component 3-like 4 [Source:MGI Symbol;Acc:MGI:1921363]	10090	140	1
ENSMUST00000072662.6	ENSMUSG00000058028.9	Zscan5b	zinc finger and SCAN domain containing 5B [Source:MGI Symbol;Acc:MGI:2159640]	10090	5	1
ENSMUST00000072666.3	ENSMUSG00000046886.5	Zfp474	zinc finger protein 474 [Source:MGI Symbol;Acc:MGI:1914008]	10090	63	1
ENSMUST00000072678.5	ENSMUSG00000089873.3	Mup13	major urinary protein 13 [Source:MGI Symbol;Acc:MGI:3702003]	10090	5	1
ENSMUST00000072685.7	ENSMUSG00000043531.10	Sorcs1	VPS10 domain receptor protein SORCS 1 [Source:MGI Symbol;Acc:MGI:1929666]	10090	5	0
ENSMUST00000072697.7	ENSMUSG00000062908.7	Acadm	acyl-Coenzyme A dehydrogenase, medium chain [Source:MGI Symbol;Acc:MGI:87867]	10090	237	1
ENSMUST00000072699.7	ENSMUSG00000015217.6	Hmgb3	high mobility group box 3 [Source:MGI Symbol;Acc:MGI:1098219]	10090	203	1
ENSMUST00000072713.6	ENSMUSG00000030486.8	Zfp108	zinc finger protein 108 [Source:MGI Symbol;Acc:MGI:1891198]	10090	24	1
ENSMUST00000072726.5	ENSMUSG00000040560.9	Wdr7	WD repeat domain 7 [Source:MGI Symbol;Acc:MGI:1860197]	10090	711	1
ENSMUST00000072727.5	ENSMUSG00000059119.8	Nap1l4	nucleosome assembly protein 1-like 4 [Source:MGI Symbol;Acc:MGI:1316687]	10090	16286	1
ENSMUST00000072729.4	ENSMUSG00000024675.14	Ms4a4c	membrane-spanning 4-domains, subfamily A, member 4C [Source:MGI Symbol;Acc:MGI:1927656]	10090	17	1
ENSMUST00000072735.7	ENSMUSG00000057411.8	Fam173a	family with sequence similarity 173, member A [Source:MGI Symbol;Acc:MGI:2384888]	10090	346	1
ENSMUST00000072739.4	ENSMUSG00000064317.4	Gm10146	predicted gene 10146 [Source:MGI Symbol;Acc:MGI:3704367]	10090	5	1
ENSMUST00000072744.8	ENSMUSG00000021038.11	Vipas39	VPS33B interacting protein, apical-basolateral polarity regulator, spe-39 homolog [Source:MGI Symbol;Acc:MGI:2144805]	10090	249	1
ENSMUST00000072748.7	ENSMUSG00000024731.10	Ms4a10	membrane-spanning 4-domains, subfamily A, member 10 [Source:MGI Symbol;Acc:MGI:1917076]	10090	5	1
ENSMUST00000072751.7	ENSMUSG00000078440.4	Dohh	deoxyhypusine hydroxylase/monooxygenase [Source:MGI Symbol;Acc:MGI:1915964]	10090	703	1
ENSMUST00000072767.6	ENSMUSG00000059495.8	Arhgef12	Rho guanine nucleotide exchange factor (GEF) 12 [Source:MGI Symbol;Acc:MGI:1916882]	10090	312	0
ENSMUST00000072776.3	ENSMUSG00000094806.1	Cyp2d10	cytochrome P450, family 2, subfamily d, polypeptide 10 [Source:MGI Symbol;Acc:MGI:88602]	10090	934	1
ENSMUST00000072777.8	ENSMUSG00000056758.9	Hmga2	high mobility group AT-hook 2 [Source:MGI Symbol;Acc:MGI:101761]	10090	10108	0
ENSMUST00000072784.2	ENSMUSG00000060878.2	Olfr1420	olfactory receptor 1420 [Source:MGI Symbol;Acc:MGI:3031254]	10090	5	1
ENSMUST00000072787.4	ENSMUSG00000066828.5	Vmn2r37	vomeronasal 2, receptor 37 [Source:MGI Symbol;Acc:MGI:1316711]	10090	5	1
ENSMUST00000072800.4	ENSMUSG00000072962.2	Gm16401	predicted gene 16401 [Source:MGI Symbol;Acc:MGI:3648398]	10090	6	1
ENSMUST00000072818.5	ENSMUSG00000061906.5	Ugt2b38	UDP glucuronosyltransferase 2 family, polypeptide B38 [Source:MGI Symbol;Acc:MGI:2140794]	10090	5	1
ENSMUST00000072829.3	ENSMUSG00000064194.7	Zfp936	zinc finger protein 936 [Source:MGI Symbol;Acc:MGI:3642994]	10090	2	1
ENSMUST00000072835.6	ENSMUSG00000071855.4	Ccdc112	coiled-coil domain containing 112 [Source:MGI Symbol;Acc:MGI:1918800]	10090	170	1
ENSMUST00000072837.5	ENSMUSG00000056493.8	Foxk1	forkhead box K1 [Source:MGI Symbol;Acc:MGI:1347488]	10090	217	1
ENSMUST00000072838.5	ENSMUSG00000022556.9	Hsf1	heat shock factor 1 [Source:MGI Symbol;Acc:MGI:96238]	10090	265	1
ENSMUST00000072841.6	ENSMUSG00000060600.10	Eno3	enolase 3, beta muscle [Source:MGI Symbol;Acc:MGI:95395]	10090	21165	1
ENSMUST00000072847.6	ENSMUSG00000024317.9	Rnf138	ring finger protein 138 [Source:MGI Symbol;Acc:MGI:1929211]	10090	436	1
ENSMUST00000072853.2	ENSMUSG00000063137.2	Olfr177	olfactory receptor 177 [Source:MGI Symbol;Acc:MGI:3030011]	10090	5	1
ENSMUST00000072857.7	ENSMUSG00000062110.9	Scfd2	Sec1 family domain containing 2 [Source:MGI Symbol;Acc:MGI:2443446]	10090	499	1
ENSMUST00000072866.6	ENSMUSG00000028437.9	Ubap1	ubiquitin-associated protein 1 [Source:MGI Symbol;Acc:MGI:2149543]	10090	610	1
ENSMUST00000072868.3	ENSMUSG00000050963.6	Kcns2	K+ voltage-gated channel, subfamily S, 2 [Source:MGI Symbol;Acc:MGI:1197011]	10090	7	1
ENSMUST00000072876.6	ENSMUSG00000066366.9	Serpina1a	serine (or cysteine) peptidase inhibitor, clade A, member 1A [Source:MGI Symbol;Acc:MGI:891971]	10090	3163	1
ENSMUST00000072886.5	ENSMUSG00000026387.10	Sctr	secretin receptor [Source:MGI Symbol;Acc:MGI:2441720]	10090	38	1
ENSMUST00000072889.6	ENSMUSG00000021338.12	Lrrc16a	leucine rich repeat containing 16A [Source:MGI Symbol;Acc:MGI:1915982]	10090	50	1
ENSMUST00000072895.4	ENSMUSG00000078905.3	Gm14393	predicted gene 14393 [Source:MGI Symbol;Acc:MGI:3649576]	10090	5	1
ENSMUST00000072896.7	ENSMUSG00000038525.11	Armc10	armadillo repeat containing 10 [Source:MGI Symbol;Acc:MGI:1914461]	10090	65	0
ENSMUST00000072910.5	ENSMUSG00000063765.6	Chadl	chondroadherin-like [Source:MGI Symbol;Acc:MGI:3036284]	10090	16	1
ENSMUST00000072915.2	ENSMUSG00000056829.3	Foxb2	forkhead box B2 [Source:MGI Symbol;Acc:MGI:1347468]	10090	5	1
ENSMUST00000072916.4	ENSMUSG00000014243.5	Zswim7	zinc finger SWIM-type containing 7 [Source:MGI Symbol;Acc:MGI:1916997]	10090	3426	1
ENSMUST00000072939.6	ENSMUSG00000055368.8	Slc6a2	solute carrier family 6 (neurotransmitter transporter, noradrenalin), member 2 [Source:MGI Symbol;Acc:MGI:1270850]	10090	44	1
ENSMUST00000072940.5	ENSMUSG00000061969.6	Gm5581	predicted gene 5581 [Source:MGI Symbol;Acc:MGI:3643462]	10090	5	1
ENSMUST00000072943.3	ENSMUSG00000060738.3	Prl7c1	prolactin family 7, subfamily c, member 1 [Source:MGI Symbol;Acc:MGI:1914755]	10090	5	1
ENSMUST00000072954.2	ENSMUSG00000062190.7	Lancl2	LanC (bacterial lantibiotic synthetase component C)-like 2 [Source:MGI Symbol;Acc:MGI:1919085]	10090	437	0
ENSMUST00000072961.4	ENSMUSG00000041236.7	Vps41	vacuolar protein sorting 41 (yeast) [Source:MGI Symbol;Acc:MGI:1929215]	10090	232	1
ENSMUST00000072968.1	ENSMUSG00000096465.1	Olfr488	olfactory receptor 488 [Source:MGI Symbol;Acc:MGI:3030322]	10090	5	1
ENSMUST00000072976.3	ENSMUSG00000096000.1	Olfr773	olfactory receptor 773 [Source:MGI Symbol;Acc:MGI:3030607]	10090	5	1
ENSMUST00000072991.1	ENSMUSG00000062186.1	Olfr395	olfactory receptor 395 [Source:MGI Symbol;Acc:MGI:3030229]	10090	5	1
ENSMUST00000072997.4	ENSMUSG00000027478.10	Dnmt3b	DNA methyltransferase 3B [Source:MGI Symbol;Acc:MGI:1261819]	10090	6428	1
ENSMUST00000073014.5	ENSMUSG00000059179.5	Gm8991	predicted pseudogene 8991 [Source:MGI Symbol;Acc:MGI:3644227]	10090	5	1
ENSMUST00000073029.6	ENSMUSG00000021461.11	Fancc	Fanconi anemia, complementation group C [Source:MGI Symbol;Acc:MGI:95480]	10090	8	1
ENSMUST00000073043.4	ENSMUSG00000061353.6	Cxcl12	chemokine (C-X-C motif) ligand 12 [Source:MGI Symbol;Acc:MGI:103556]	10090	1716	0
ENSMUST00000073049.6	ENSMUSG00000089960.1	Ugt1a1	UDP glucuronosyltransferase 1 family, polypeptide A1 [Source:MGI Symbol;Acc:MGI:98898]	10090	13849	1
ENSMUST00000073054.3	ENSMUSG00000062526.3	Mppe1	metallophosphoesterase 1 [Source:MGI Symbol;Acc:MGI:2661311]	10090	77	1
ENSMUST00000073080.5	ENSMUSG00000058927.5	Gm10053	predicted gene 10053 [Source:MGI Symbol;Acc:MGI:3704493]	10090	43	1
ENSMUST00000073081.5	ENSMUSG00000057047.5	1700010B08Rik	RIKEN cDNA 1700010B08 gene [Source:MGI Symbol;Acc:MGI:1922735]	10090	5	1
ENSMUST00000073089.7	ENSMUSG00000054942.8	Fam73a	family with sequence similarity 73, member A [Source:MGI Symbol;Acc:MGI:1924567]	10090	581	1
ENSMUST00000073102.1	ENSMUSG00000096773.1	Olfr675	olfactory receptor 675 [Source:MGI Symbol;Acc:MGI:3030509]	10090	5	1
ENSMUST00000073104.5	ENSMUSG00000061950.12	Ppp4r1	protein phosphatase 4, regulatory subunit 1 [Source:MGI Symbol;Acc:MGI:1917601]	10090	949	1
ENSMUST00000073109.6	ENSMUSG00000047409.8	Ctdspl	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like [Source:MGI Symbol;Acc:MGI:1916524]	10090	1316	1
ENSMUST00000073111.2	ENSMUSG00000059113.2	Gm10061	predicted gene 10061 [Source:MGI Symbol;Acc:MGI:3642175]	10090	5	1
ENSMUST00000073115.4	ENSMUSG00000063689.4	Hist2h2ab	histone cluster 2, H2ab [Source:MGI Symbol;Acc:MGI:2448314]	10090	0	1
ENSMUST00000073116.6	ENSMUSG00000025225.9	Nfkb2	nuclear factor of kappa light polypeptide gene enhancer in B cells 2, p49/p100 [Source:MGI Symbol;Acc:MGI:1099800]	10090	290	1
ENSMUST00000073120.5	ENSMUSG00000062729.6	Ppox	protoporphyrinogen oxidase [Source:MGI Symbol;Acc:MGI:104968]	10090	69	1
ENSMUST00000073122.3	ENSMUSG00000061457.3	Olfr871	olfactory receptor 871 [Source:MGI Symbol;Acc:MGI:3030705]	10090	5	1
ENSMUST00000073124.6	ENSMUSG00000057691.6	Zfp746	zinc finger protein 746 [Source:MGI Symbol;Acc:MGI:1916478]	10090	116	1
ENSMUST00000073127.8	ENSMUSG00000035024.10	Ncapd3	non-SMC condensin II complex, subunit D3 [Source:MGI Symbol;Acc:MGI:2142989]	10090	251	0
ENSMUST00000073139.8	ENSMUSG00000036564.11	Ndrg4	N-myc downstream regulated gene 4 [Source:MGI Symbol;Acc:MGI:2384590]	10090	79	1
ENSMUST00000073149.5	ENSMUSG00000014786.7	Slc9a5	solute carrier family 9 (sodium/hydrogen exchanger), member 5 [Source:MGI Symbol;Acc:MGI:2685542]	10090	79	1
ENSMUST00000073150.4	ENSMUSG00000021846.8	Peli2	pellino 2 [Source:MGI Symbol;Acc:MGI:1891445]	10090	489	1
ENSMUST00000073151.7	ENSMUSG00000060508.10	Nlrp9b	NLR family, pyrin domain containing 9B [Source:MGI Symbol;Acc:MGI:2675377]	10090	8	1
ENSMUST00000073152.7	ENSMUSG00000027086.11	Fastkd1	FAST kinase domains 1 [Source:MGI Symbol;Acc:MGI:2444596]	10090	16	1
ENSMUST00000073156.7	ENSMUSG00000040867.10	Begain	brain-enriched guanylate kinase-associated [Source:MGI Symbol;Acc:MGI:3044626]	10090	45	1
ENSMUST00000073161.6	ENSMUSG00000023079.9	Gtf2ird1	general transcription factor II I repeat domain-containing 1 [Source:MGI Symbol;Acc:MGI:1861942]	10090	33	0
ENSMUST00000073179.5	ENSMUSG00000073730.2	4933415F23Rik	RIKEN cDNA 4933415F23 gene [Source:MGI Symbol;Acc:MGI:1914005]	10090	5	1
ENSMUST00000073192.8	ENSMUSG00000020311.12	Erlec1	endoplasmic reticulum lectin 1 [Source:MGI Symbol;Acc:MGI:1914003]	10090	1089	1
ENSMUST00000073201.5	ENSMUSG00000058748.5	Zfp958	zinc finger protein 958 [Source:MGI Symbol;Acc:MGI:2385298]	10090	1025	1
ENSMUST00000073211.6	ENSMUSG00000024049.9	Myom1	myomesin 1 [Source:MGI Symbol;Acc:MGI:1341430]	10090	9759	1
ENSMUST00000073226.1	ENSMUSG00000063823.1	Olfr532	olfactory receptor 532 [Source:MGI Symbol;Acc:MGI:3030366]	10090	5	1
ENSMUST00000073228.6	ENSMUSG00000027463.9	Slc52a3	solute carrier protein family 52, member 3 [Source:MGI Symbol;Acc:MGI:1916948]	10090	61	0
ENSMUST00000073238.6	ENSMUSG00000060143.6	Gm10076	predicted gene 10076 [Source:MGI Symbol;Acc:MGI:3704451]	10090	32	1
ENSMUST00000073242.5	ENSMUSG00000012819.10	Cdh23	cadherin 23 (otocadherin) [Source:MGI Symbol;Acc:MGI:1890219]	10090	26	1
ENSMUST00000073248.1	ENSMUSG00000096109.1	Olfr1537	olfactory receptor 1537 [Source:MGI Symbol;Acc:MGI:3031371]	10090	5	1
ENSMUST00000073251.6	ENSMUSG00000062961.6	Ccdc177	coiled-coil domain containing 177 [Source:MGI Symbol;Acc:MGI:2686414]	10090	5	1
ENSMUST00000073252.3	ENSMUSG00000026251.8	Chrnd	cholinergic receptor, nicotinic, delta polypeptide [Source:MGI Symbol;Acc:MGI:87893]	10090	7	1
ENSMUST00000073261.2	ENSMUSG00000061991.2	Hist1h2af	histone cluster 1, H2af [Source:MGI Symbol;Acc:MGI:2448309]	10090	15	1
ENSMUST00000073277.6	ENSMUSG00000059562.9	Ccdc154	coiled-coil domain containing 154 [Source:MGI Symbol;Acc:MGI:2685163]	10090	15	0
ENSMUST00000073279.7	ENSMUSG00000037395.10	Rcor3	REST corepressor 3 [Source:MGI Symbol;Acc:MGI:2441920]	10090	499	0
ENSMUST00000073302.6	ENSMUSG00000057315.9	Arhgap24	Rho GTPase activating protein 24 [Source:MGI Symbol;Acc:MGI:1922647]	10090	192	1
ENSMUST00000073312.6	ENSMUSG00000067928.6	Zfp760	zinc finger protein 760 [Source:MGI Symbol;Acc:MGI:2679257]	10090	156	1
ENSMUST00000073316.7	ENSMUSG00000001517.9	Foxm1	forkhead box M1 [Source:MGI Symbol;Acc:MGI:1347487]	10090	1345	1
ENSMUST00000073325.5	ENSMUSG00000074277.3	Phldb3	pleckstrin homology-like domain, family B, member 3 [Source:MGI Symbol;Acc:MGI:3642959]	10090	24	1
ENSMUST00000073337.6	ENSMUSG00000038002.8	Cramp1l	Crm, cramped-like (Drosophila) [Source:MGI Symbol;Acc:MGI:1930190]	10090	559	1
ENSMUST00000073339.6	ENSMUSG00000006373.10	Pgrmc1	progesterone receptor membrane component 1 [Source:MGI Symbol;Acc:MGI:1858305]	10090	306	1
ENSMUST00000073350.7	ENSMUSG00000004552.11	Ctse	cathepsin E [Source:MGI Symbol;Acc:MGI:107361]	10090	181	1
ENSMUST00000073363.1	ENSMUSG00000029282.3	Amtn	amelotin [Source:MGI Symbol;Acc:MGI:1918671]	10090	5	1
ENSMUST00000073364.5	ENSMUSG00000025262.8	Fam120c	family with sequence similarity 120, member C [Source:MGI Symbol;Acc:MGI:2387687]	10090	62	1
ENSMUST00000073371.6	ENSMUSG00000065979.7	Cpped1	calcineurin-like phosphoesterase domain containing 1 [Source:MGI Symbol;Acc:MGI:2443300]	10090	57	0
ENSMUST00000073380.7	ENSMUSG00000057240.9	Ms4a13	membrane-spanning 4-domains, subfamily A, member 13 [Source:MGI Symbol;Acc:MGI:1920716]	10090	5	1
ENSMUST00000073384.3	ENSMUSG00000057981.4	Vmn1r12	vomeronasal 1 receptor 12 [Source:MGI Symbol;Acc:MGI:3645555]	10090	5	1
ENSMUST00000073387.2	ENSMUSG00000029859.4	Epha1	Eph receptor A1 [Source:MGI Symbol;Acc:MGI:107381]	10090	377	1
ENSMUST00000073388.7	ENSMUSG00000017718.10	Afmid	arylformamidase [Source:MGI Symbol;Acc:MGI:2448704]	10090	185	1
ENSMUST00000073391.4	ENSMUSG00000062432.4	Cyp26c1	cytochrome P450, family 26, subfamily c, polypeptide 1 [Source:MGI Symbol;Acc:MGI:2679699]	10090	5	1
ENSMUST00000073394.2	ENSMUSG00000057321.2	Usp17ld	ubiquitin specific peptidase 17-like D [Source:MGI Symbol;Acc:MGI:3051372]	10090	5	1
ENSMUST00000073406.6	ENSMUSG00000061877.7	BC048679	cDNA sequence BC048679 [Source:MGI Symbol;Acc:MGI:3510776]	10090	5	1
ENSMUST00000073410.6	ENSMUSG00000090744.2	Gm6871	predicted gene 6871 [Source:MGI Symbol;Acc:MGI:3643456]	10090	303	1
ENSMUST00000073415.1	ENSMUSG00000057592.1	Vmn1r48	vomeronasal 1 receptor 48 [Source:MGI Symbol;Acc:MGI:2148508]	10090	5	1
ENSMUST00000073428.5	ENSMUSG00000063354.6	Slc39a4	solute carrier family 39 (zinc transporter), member 4 [Source:MGI Symbol;Acc:MGI:1919277]	10090	420	1
ENSMUST00000073441.7	ENSMUSG00000042772.10	Smg7	Smg-7 homolog, nonsense mediated mRNA decay factor (C. elegans) [Source:MGI Symbol;Acc:MGI:2682334]	10090	538	1
ENSMUST00000073456.7	ENSMUSG00000060739.7	Nsa2	NSA2 ribosome biogenesis homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1913883]	10090	40	1
ENSMUST00000073459.6	ENSMUSG00000062542.6	Syt9	synaptotagmin IX [Source:MGI Symbol;Acc:MGI:1926373]	10090	9	1
ENSMUST00000073466.7	ENSMUSG00000058240.8	Cryzl1	crystallin, zeta (quinone reductase)-like 1 [Source:MGI Symbol;Acc:MGI:1913859]	10090	762	1
ENSMUST00000073471.7	ENSMUSG00000060938.9	Rpl26	ribosomal protein L26 [Source:MGI Symbol;Acc:MGI:106022]	10090	32697	1
ENSMUST00000073490.6	ENSMUSG00000026354.8	Lct	lactase [Source:MGI Symbol;Acc:MGI:104576]	10090	5	1
